Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]",Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Contraceptive prevalence, any methods (% of women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal) [ER.GDP.FWTL.M3.KD]",Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Start-up procedures to register a business (number) [IC.REG.PROC],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2000 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]",Total debt service (% of GNI) [DT.TDS.DECT.GN.ZS],Net migration [SM.POP.NETM],"Personal remittances, paid (current US$) [BM.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net ODA received per capita (current US$) [DT.ODA.ODAT.PC.ZS],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS]
2000,YR2000,Australia,AUS,19153000,1.19227232344832,7741220,NA,404295825840.012,21110,489486706602.537,25560,NA,79.2341463414634,1.756,17.9326,NA,99.3,6.2,NA,91,NA,NA,NA,0.1,1288410,NA,5644.06495066047,17.2006098261369,10193.9121808594,415034227218.489,3.94318908229896,2.57948136819024,3.12048409721287,24.6495848584948,19.4434818925066,21.6041545927346,26.3199865629431,25.9545530892369,NA,89.822555719904,1.89843824476931,44.9075485120323,15.3599446467269,32.6235744235911,100,NA,NA,NA,868990623.794047,14892978180.1828,NA,21669.410913094,-10797958704.9726,4.475183076,1.29918836128288
2000,YR2000,Austria,AUT,8011566,0.240466652446524,83879,NA,214597273270.408,26790,233293523085.72,29120,NA,78.1268292682927,1.36,13.9232,NA,98.3,5.5,NA,75,NA,98.6960601806641,0.969690024852753,NA,38380,NA,3570.49882632185,7.77425973898237,7076.26948339438,196799778883.361,3.37572197324998,1.36404108441594,1.64730021298979,28.2848020340956,43.3462739519887,42.0142216659345,25.92697094208,43.7772206161536,NA,15.2110028628345,0.978434736624095,75.8060574455503,14.5978166979755,71.1914565798557,100,NA,NA,NA,1298060059,8525406379.1313,NA,24564.4582948404,NA,2.395185512,0.056748665737724
2000,YR2000,Azerbaijan,AZE,8048600,0.821519963674211,86600,NA,4922472491.80132,610,26907747949.7874,3340,NA,66.763,2,36.5066,55.1,80.7,74.3,14,67,89.5135116577148,NA,NA,0.1,8718,NA,1403.43326789752,3.66627102850185,2040.4790895311,5272617196.04517,11.0999992535406,12.493369676934,16.0852885695513,42.5353426167313,39.041359869439,38.378094995867,20.6740001271698,NA,NA,NA,2.26786206311863,5.17559282020687,4.58982266299761,55.3235687617897,100,1585213000,2.76842336025342,NA,100962000,129937000,17.4701190269115,655.097432602586,-129177000,1.805003038,32.500955599129
2000,YR2000,"Bahamas, The",BHS,297890,1.46013664991475,13880,NA,6057422153.4305,20330,5996169328.30496,20130,NA,72.37,2.071,51.1554,NA,99,16.1,NA,93,NA,NA,NA,2.9,5150,NA,NA,5.60101044009534,NA,8076470000,4.14924301720671,0.921909234075827,1.34464685685702,12.1488719700562,38.0475628585261,41.5973810340409,30.135690468732,11.6035966208009,NA,NA,NA,10.5824297559502,6.80828549717642,32.8113643708204,100,NA,NA,NA,56170000,250250000,NA,27112.2562019537,-250250000,1.606329417,0
2000,YR2000,Bahrain,BHR,664614,4.31513063667666,710,NA,7269677350.3829,10940,23090979986.5766,34740,NA,74.44,2.795,17.583,NA,97.7,12.5,NA,98,98.7881469726563,97.5679092407227,1.02974998950958,0.1,3.7,NA,11988.721272799,28.0509107542122,20014.6250304688,9062906914.89362,5.29999479407712,29.9914839038825,NA,NA,79.1805973202084,56.6284184451879,16.5750239240909,28.8908524430158,NA,73.0929939169276,3.96167097999708,30.9543584697283,0.03605719556676,119.47601472333,100,NA,NA,NA,1012681829.78723,363562321.906708,90.9249579455142,13636.3466837798,-354009613.612708,-0.704852953,3.58292359623623
2000,YR2000,Bangladesh,BGD,131581243,1.95819376686796,148460,48.9,55712709024.3031,420,176805519557.508,1340,8.6,65.324,3.17,112.5334,54.3,12.1,87.4,42.3,74,NA,48.0099906921387,NA,0.1,14680,NA,138.788345387496,0.211802224728946,101.488629348181,53369787318.6245,5.2932947184604,3.44665934960476,22.7181480755923,22.2793826819325,12.3442012279919,16.9775131339119,23.8085625731369,NA,NA,4.10752995306577,1.43858421977407,0.21203630064507,0.213022146744978,28.6154409962779,100,15602838000,1.40345453974848,NA,4378216.6851099,280384629.677983,8.92475229163172,405.603307141767,-280384629.677983,2.208256209,0.042131850750505
2000,YR2000,Barbados,BRB,269847,0.343375698626051,430,NA,2970339377.97922,11010,3233083845.57831,11980,NA,73.377,1.744,50.2788,NA,98,14.8,NA,94,98.3906936645508,103.624076843262,1.00690996646881,0.7,63,NA,NA,4.4028949738185,NA,3121500000,2.29999999999981,0.733539602319084,1.95579048534358,15.0024026910139,42.377062309787,46.4023706551338,17.7478776229377,NA,NA,54.6701906134871,NA,10.54931127639,22.7147218972059,45.747236905334,100,NA,NA,NA,19150000,19400000,0.889392878186528,11567.6661219135,-18350000,2.435813035,0.325153085202073
2000,YR2000,Belarus,BLR,9979610,-0.471131334643547,207600,41.9,13789911272.8793,1380,59604001770.5209,5970,7.9,68.9121951219512,1.317,27.783,NA,99.9,12.8,NA,98,101.633903503418,NA,NA,0.1,82730,15.2583944942339,2462.41105614348,5.38974529064763,2996.30947501957,12736856827.9847,5.80000349817178,185.290760539103,12.0968271694147,33.4789463312093,69.2108213448948,72.3983446101294,25.3986730605006,28.6812717598371,NA,NA,1.34698592042742,0.49682849405488,3.82905452213107,125.399855048282,100,2620197000,3.07069480936641,NA,9600000,118800000,NA,1276.2880341,-118600000,168.6202359,1.71870659157862
2000,YR2000,Belgium,BEL,10251250,0.242517956221334,30530,NA,266898059136.103,26040,294082652230.282,28690,NA,77.7219512195122,1.67,10.6408,NA,NA,5.9,NA,82,NA,144.876281738281,1.05727994441986,NA,6673,NA,5669.35817583222,11.2296676990611,8247.67711254725,237904919845.218,3.63365201492995,2.02357585716103,1.16794850942213,24.8219361634562,71.8575876571322,69.221483839487,23.7818233922749,42.1134914918171,NA,76.7031300230035,1.34121027642881,54.7459826281437,10.7311106218768,153.793576317398,100,NA,NA,NA,3587770752,NA,NA,23207.4059110078,NA,2.54463963,0
2000,YR2000,Belize,BLZ,247315,3.40904951371787,22970,NA,779751684.965213,3150,1277217265.66503,5160,NA,68.329,3.6,97.2162,NA,100,24.1,NA,96,100.033409118652,67.9763565063477,0.98496001958847,0.6,14593,9.40015540309322,NA,1.60134241756464,NA,832072450,13.0387621268347,0.458891981499107,14.649289253598,18.5363005348873,52.9701470106359,73.6714693534199,31.7089936098713,20.3582031829079,NA,NA,0.855229012810122,6.79780846289145,1.90436933262662E-05,89.1749270150694,100,629902000,9.91152478606624,NA,6435358.715,29564651.9166666,65.8674160483594,3364.42371065241,-23340762.4266667,3.067439669,0
